Mouse no.,t0,t_CNO  (relative to t0),t_cocaine (relative to t0),t_end,1st inj,2nd inj
1,5246,17555,53718,1.65E+05,vehicle,cocaine
2,4171,17582,53701,1.70E+05,CNO,cocaine
3,8949,17532,54925,1.72E+05,vehicle,cocaine
4,3290,17577,53783,1.68E+05,vehicle,cocaine
5,7815,17511,54094,1.71E+05,CNO,cocaine
6,2497,17564,53815,1.67E+05,CNO,cocaine
7,6917,17440,53429,1.69E+05,vehicle,cocaine
8,3536,17872,54122,1.75E+05,vehicle,cocaine
9,9090,17544,53857,1.76E+05,CNO,cocaine
10,2363,17650,54564,1.64E+05,CNO,cocaine
11,2505,17583,53765,1.72E+05,vehicle,cocaine
12,6482,17621,58937,1.74E+05,CNO,cocaine
13,3874,17583,53992,1.72E+05,CNO,cocaine
14,8716,17447,54342,1.76E+05,vehicle,cocaine
15,3686,17549,53624,1.69E+05,vehicle,cocaine
16,8309,17840,53861,1.72E+05,CNO,cocaine
17,2827,17661,54234,1.68E+05,CNO,cocaine
18,7102,17660,54395,1.69E+05,vehicle,cocaine
